Image_path,No_Cars,lanes,Road_sign,Output
frame0.jpg,0,1,0,0
frame1.jpg,0,1,3,1
frame10.jpg,2,1,3,2
frame100.jpg,1,1,1,1
frame1000.jpg,2,1,2,3
frame1001.jpg,2,1,0,1
frame1002.jpg,1,1,3,1
frame1003.jpg,2,1,3,0
frame1004.jpg,2,1,3,3
frame1005.jpg,2,1,1,1
frame1006.jpg,1,1,3,2
frame1007.jpg,1,1,2,2
frame1008.jpg,2,1,3,2
frame1009.jpg,3,1,2,3
frame101.jpg,1,1,1,0
frame1010.jpg,3,1,3,1
frame1011.jpg,4,1,0,1
frame1012.jpg,4,1,3,0
frame1013.jpg,4,1,1,0
frame1014.jpg,4,1,3,3
frame1015.jpg,3,1,2,0
frame1016.jpg,3,1,0,0
frame1017.jpg,3,1,0,3
frame1018.jpg,3,1,2,1
frame1019.jpg,3,1,3,3
frame102.jpg,1,1,2,1
frame1020.jpg,3,1,1,1
frame1021.jpg,2,1,3,3
frame1022.jpg,3,1,1,3
frame1023.jpg,3,1,0,1
frame1024.jpg,2,1,0,0
frame1025.jpg,2,1,1,3
frame1026.jpg,2,1,3,3
frame1027.jpg,2,1,3,0
frame1028.jpg,2,1,0,0
frame1029.jpg,2,1,2,0
frame103.jpg,1,1,3,3
frame1030.jpg,2,1,0,3
frame1031.jpg,2,1,0,1
frame1032.jpg,2,1,0,0
frame1033.jpg,2,1,0,1
frame1034.jpg,2,1,3,1
frame1035.jpg,0,1,0,3
frame1036.jpg,1,1,0,3
frame1037.jpg,1,1,2,2
frame1038.jpg,1,1,2,2
frame1039.jpg,1,1,1,2
frame104.jpg,1,1,3,0
frame1040.jpg,1,1,2,3
frame1041.jpg,1,1,1,3
frame1042.jpg,1,1,2,1
frame1043.jpg,0,1,3,0
frame1044.jpg,0,1,3,0
frame1045.jpg,0,1,0,2
frame1046.jpg,0,1,0,1
frame1047.jpg,0,1,2,3
frame1048.jpg,0,1,1,2
frame1049.jpg,0,1,3,0
frame105.jpg,1,1,2,1
frame1050.jpg,0,1,1,3
frame1051.jpg,0,1,2,1
frame1052.jpg,0,1,2,0
frame1053.jpg,1,1,3,0
frame1054.jpg,1,1,2,0
frame1055.jpg,1,1,1,1
frame1056.jpg,1,1,2,0
frame1057.jpg,0,1,0,2
frame1058.jpg,0,1,0,2
frame1059.jpg,0,1,3,2
frame106.jpg,1,1,1,0
frame1060.jpg,0,1,3,3
frame1061.jpg,0,1,2,2
frame1062.jpg,0,1,2,0
frame1063.jpg,0,1,1,1
frame1064.jpg,0,1,2,1
frame1065.jpg,1,1,0,2
frame1066.jpg,0,1,3,3
frame1067.jpg,0,1,3,0
frame1068.jpg,0,1,3,2
frame1069.jpg,1,1,3,2
frame107.jpg,1,1,3,1
frame1070.jpg,1,1,0,2
frame1071.jpg,1,1,0,2
frame1072.jpg,1,1,2,3
frame1073.jpg,2,0,1,2
frame1074.jpg,1,0,3,2
frame1075.jpg,1,0,3,3
frame1076.jpg,2,0,3,0
frame1077.jpg,2,0,3,1
frame1078.jpg,2,0,1,1
frame1079.jpg,2,0,0,0
frame108.jpg,2,1,1,2
frame1080.jpg,0,0,2,1
frame1081.jpg,1,0,0,0
frame1082.jpg,1,0,3,0
frame1083.jpg,2,0,3,2
frame1084.jpg,2,0,2,0
frame1085.jpg,2,0,0,0
frame1086.jpg,2,0,2,0
frame1087.jpg,2,0,2,0
frame1088.jpg,1,0,2,3
frame1089.jpg,1,0,2,0
frame109.jpg,1,1,2,0
frame1090.jpg,2,0,1,1
frame1091.jpg,2,0,1,3
frame1092.jpg,2,0,0,3
frame1093.jpg,2,0,0,0
frame1094.jpg,2,0,3,2
frame1095.jpg,2,0,0,2
frame1096.jpg,1,0,1,1
frame1097.jpg,1,0,3,3
frame1098.jpg,1,0,2,0
frame1099.jpg,1,0,2,0
frame11.jpg,2,1,2,1
frame110.jpg,1,1,2,3
frame1100.jpg,2,0,1,3
frame1101.jpg,2,0,1,1
frame1102.jpg,2,0,1,1
frame1103.jpg,1,0,3,3
frame1104.jpg,2,0,1,2
frame1105.jpg,2,0,1,2
frame1106.jpg,2,0,2,1
frame1107.jpg,2,0,0,0
frame1108.jpg,2,0,2,0
frame1109.jpg,2,0,1,2
frame111.jpg,0,1,3,0
frame1110.jpg,2,0,2,0
frame1111.jpg,3,0,3,1
frame1112.jpg,3,0,0,0
frame1113.jpg,3,0,3,3
frame1114.jpg,3,0,0,3
frame1115.jpg,2,0,3,3
frame1116.jpg,2,0,0,0
frame1117.jpg,1,0,3,2
frame1118.jpg,1,1,1,1
frame1119.jpg,1,1,3,1
frame112.jpg,0,1,1,3
frame1120.jpg,1,1,2,1
frame1121.jpg,2,1,2,2
frame1122.jpg,2,1,1,1
frame1123.jpg,1,1,3,2
frame1124.jpg,1,1,1,3
frame1125.jpg,1,1,3,1
frame1126.jpg,1,1,2,0
frame1127.jpg,1,1,2,2
frame1128.jpg,1,1,2,2
frame1129.jpg,1,1,2,0
frame113.jpg,0,1,3,3
frame1130.jpg,1,1,1,0
frame1131.jpg,1,1,0,2
frame1132.jpg,1,1,3,3
frame1133.jpg,1,1,3,3
frame1134.jpg,2,1,2,3
frame1135.jpg,2,1,1,1
frame1136.jpg,2,1,1,3
frame1137.jpg,2,1,0,0
frame1138.jpg,1,1,2,2
frame1139.jpg,0,1,2,0
frame114.jpg,0,1,0,2
frame1140.jpg,2,1,0,3
frame1141.jpg,1,1,1,2
frame1142.jpg,0,1,1,0
frame1143.jpg,1,1,0,0
frame1144.jpg,1,1,3,1
frame1145.jpg,1,1,2,1
frame1146.jpg,1,1,2,2
frame1147.jpg,2,1,1,1
frame1148.jpg,1,1,2,2
frame1149.jpg,1,1,2,1
frame115.jpg,0,1,3,3
frame1150.jpg,1,1,1,2
frame1151.jpg,1,1,3,2
frame1152.jpg,1,1,1,3
frame1153.jpg,0,1,2,1
frame1154.jpg,0,1,0,2
frame1155.jpg,0,1,0,3
frame1156.jpg,1,1,2,3
frame1157.jpg,1,1,3,0
frame1158.jpg,1,1,0,0
frame1159.jpg,0,1,1,2
frame116.jpg,0,1,1,2
frame1160.jpg,0,1,0,1
frame1161.jpg,0,1,2,0
frame1162.jpg,0,1,3,0
frame1163.jpg,0,1,0,3
frame1164.jpg,0,1,1,1
frame1165.jpg,0,1,0,1
frame1166.jpg,0,1,1,0
frame1167.jpg,0,1,0,0
frame1168.jpg,1,1,1,0
frame1169.jpg,1,1,0,3
frame117.jpg,0,1,2,3
frame1170.jpg,1,1,3,0
frame1171.jpg,0,1,1,0
frame1172.jpg,0,1,0,3
frame1173.jpg,0,1,0,0
frame1174.jpg,0,1,2,2
frame1175.jpg,0,1,3,3
frame1176.jpg,0,1,0,3
frame1177.jpg,0,1,0,1
frame1178.jpg,0,1,3,3
frame1179.jpg,0,1,0,0
frame118.jpg,0,1,3,1
frame1180.jpg,0,1,3,0
frame1181.jpg,0,1,0,0
frame1182.jpg,0,1,1,0
frame1183.jpg,1,1,2,1
frame1184.jpg,0,1,2,0
frame1185.jpg,1,1,3,1
frame1186.jpg,1,1,2,0
frame1187.jpg,1,1,1,3
frame1188.jpg,1,1,0,0
frame1189.jpg,1,1,0,0
frame119.jpg,0,1,3,1
frame1190.jpg,1,1,3,1
frame1191.jpg,1,1,2,2
frame1192.jpg,1,1,3,0
frame1193.jpg,1,1,2,3
frame1194.jpg,1,1,2,0
frame1195.jpg,0,1,0,2
frame1196.jpg,1,1,3,1
